18,14,4,9,14
10,41,8,2,23
17,20,38,40,27
6,17,46,35,36
13,46,16,8,4
10,43,44,37,15
18,46,41,23,35
2,13,12,43,38
13,10,19,32,26
12,1,48,41,43
7,17,46,50,23
2,41,30,39,40
11,35,39,11,16
2,12,5,35,14
17,20,46,16,28
13,19,19,4,20
10,13,21,49,6
7,22,23,3,10
9,2,0,2,20
6,6,28,47,20
14,22,32,46,15
5,13,35,45,50
12,41,18,15,14
12,43,10,49,8
11,26,36,45,4
6,26,41,33,26
19,6,3,32,16
12,42,35,1,16
16,19,48,29,13
13,49,23,33,5
0,45,50,40,46
5,49,12,21,49
8,8,50,45,28
13,22,44,21,37
1,44,5,19,23
19,12,2,39,28
14,44,8,3,14
18,33,36,2,44
17,30,24,14,27
12,26,13,13,50
2,34,8,12,50
5,29,38,38,11
16,33,23,2,49
16,16,33,32,9
4,19,19,9,36
3,37,10,30,31
17,9,43,33,40
4,28,21,39,1
0,28,6,7,19
15,47,24,11,19
14,28,3,4,20
20,2,14,12,50
12,23,43,29,22
1,32,41,28,45
19,47,1,49,30
7,41,33,40,29
15,4,34,24,13
14,32,18,4,17
1,31,16,38,34
11,30,12,49,26
12,49,13,49,29
0,48,16,24,26
13,33,19,9,31
18,6,4,36,17
10,3,3,32,38
11,14,4,0,26
15,7,30,21,29
5,7,33,7,8
12,48,15,16,3
10,10,31,42,13
5,27,9,42,5
14,25,39,47,20
17,31,19,49,7
16,9,7,38,36
14,28,16,19,35
14,34,34,46,6
3,33,0,8,18
12,26,22,32,7
1,21,1,31,34
11,38,48,48,4
3,2,41,37,42
2,48,10,23,36
1,32,4,10,39
18,34,9,36,43
7,16,11,46,46
8,26,1,23,50
7,14,20,38,28
3,4,41,2,42
13,35,44,21,25
11,42,6,32,33
16,3,46,40,30
6,14,22,17,24
1,30,1,22,17
20,30,23,48,0
5,9,47,29,5
18,28,49,27,20
19,14,8,11,2
11,29,22,1,9
9,29,11,46,12
7,28,0,14,6
10,4,39,41,33
14,26,18,15,31
7,32,50,2,33
6,22,25,10,7
19,18,20,13,21
0,1,26,18,1
7,10,17,46,30
9,37,39,7,21
9,23,29,38,45
16,41,11,12,47
7,4,30,34,9
20,45,29,34,50
8,12,3,28,8
1,24,29,14,50
17,21,37,6,24
16,43,34,1,44
9,2,5,1,5
12,25,36,7,47
9,17,34,46,16
2,49,27,8,27
14,37,46,46,45
10,14,46,46,27
15,25,0,35,44
19,10,8,14,11
3,42,32,9,27
7,31,27,45,19
3,3,2,30,2
12,47,10,45,8
0,17,8,40,31
4,15,3,12,2
2,26,23,5,46
18,26,36,12,49
8,32,11,25,1
3,25,39,24,0
4,25,8,26,22
4,33,3,24,37
5,29,42,50,1
20,24,39,41,4
5,9,7,23,34
3,22,43,34,2
6,31,25,49,48
3,19,36,47,48
16,25,13,6,35
13,2,35,45,32
2,43,38,7,35
9,40,42,43,4
18,7,47,41,43
18,35,26,42,32
3,8,45,7,19
10,26,40,12,0
16,46,50,38,6
10,29,3,27,8
4,22,35,49,10
12,44,36,11,28
2,2,39,5,18
14,41,8,50,23
