5,13,21,13,49
11,22,16,31,0
20,40,38,31,36
12,43,43,23,43
0,50,22,16,25
8,26,2,6,33
14,1,13,9,44
9,20,19,22,34
9,43,41,49,9
3,46,31,42,12
7,48,25,21,13
9,45,8,24,13
19,4,15,19,24
4,38,8,45,18
1,7,43,22,48
8,44,44,1,43
9,32,42,26,41
11,44,44,17,2
9,41,10,40,6
14,14,44,24,9
15,2,25,18,16
9,19,29,37,12
3,50,23,12,18
16,14,28,16,11
11,16,1,21,32
20,18,3,10,43
19,6,0,0,29
14,37,38,18,31
0,27,19,22,28
17,39,29,38,37
11,24,47,29,23
14,35,27,9,19
16,37,32,31,12
11,11,6,30,3
18,13,42,39,32
4,4,37,9,9
12,11,29,7,33
7,38,30,16,33
2,44,43,43,1
11,5,40,47,29
7,15,28,30,35
10,7,22,19,33
10,23,46,38,16
7,18,49,2,45
6,20,38,40,36
19,32,23,32,48
18,46,10,3,46
16,35,20,33,32
6,42,41,6,3
5,34,14,6,39
5,16,26,44,48
8,48,37,13,35
8,8,28,2,40
1,38,36,4,0
17,21,12,8,8
13,39,31,6,41
2,28,23,26,16
16,20,17,15,2
15,12,29,43,0
14,14,28,16,0
4,41,48,29,23
18,42,48,0,30
5,3,49,33,9
16,20,21,1,10
4,21,46,32,4
15,23,20,29,5
10,14,11,19,41
10,43,3,18,7
8,26,39,42,4
15,22,48,45,16
10,36,34,28,3
14,50,8,39,13
0,41,20,4,9
18,39,11,11,46
12,17,9,49,40
0,11,40,35,31
1,0,20,13,32
6,21,36,12,22
11,12,44,4,36
12,10,42,20,44
15,21,43,44,32
13,37,34,19,8
3,30,31,45,28
0,24,21,41,32
7,13,25,28,20
10,7,13,19,11
17,11,10,24,23
3,14,29,42,37
19,36,22,33,27
1,8,36,32,20
7,21,19,13,43
13,13,17,30,5
11,39,21,7,4
14,26,25,44,3
15,18,16,21,1
4,40,5,19,49
16,10,6,4,47
20,38,25,9,0
5,50,21,15,12
15,4,4,13,3
5,6,47,47,26
5,37,36,27,48
6,15,29,19,50
15,28,31,1,33
14,47,0,43,28
11,40,46,20,42
15,17,37,26,24
11,27,9,11,39
16,40,45,26,23
19,35,37,49,19
1,49,31,22,6
11,9,49,11,50
20,19,15,43,5
20,42,8,21,7
11,26,4,25,20
8,40,20,26,48
6,31,18,38,0
11,8,34,46,35
2,50,23,44,35
2,20,50,19,5
8,9,23,35,13
20,43,5,5,50
8,13,18,18,30
3,30,2,8,30
11,16,44,8,42
3,50,22,31,23
8,11,50,29,43
19,38,22,0,15
8,19,16,17,29
7,15,37,15,38
11,39,26,12,32
19,25,5,30,14
19,8,29,9,10
3,12,48,42,39
6,40,45,10,4
1,50,3,40,14
19,47,13,31,0
13,5,44,32,25
13,28,14,23,15
20,19,22,18,4
14,34,33,10,20
5,5,39,17,10
6,43,15,4,8
18,45,13,42,26
13,45,35,26,23
17,27,41,39,47
9,9,4,19,43
13,32,10,48,33
5,17,33,2,43
11,12,31,41,5
13,10,20,42,27
13,29,50,47,42
5,5,20,10,20
1,32,46,32,3
13,9,27,9,44
3,1,15,43,26
7,20,6,43,20
2,26,17,42,20
4,30,20,39,43
18,3,37,32,45
13,47,22,3,15
3,18,47,1,19
12,44,31,6,8
10,33,49,15,42
3,12,0,27,6
3,37,15,30,25
12,46,34,38,38
14,47,5,16,22
4,39,3,0,19
8,26,8,4,32
15,49,31,26,35
9,20,10,20,48
9,40,47,35,40
9,28,46,37,6
19,7,42,34,13
15,5,40,6,43
14,43,3,47,13
20,26,12,50,10
12,44,10,17,5
8,26,41,31,10
4,15,27,40,31
5,22,33,38,18
7,29,42,19,28
14,22,1,26,20
7,16,9,13,23
0,17,2,5,28
7,20,21,8,1
18,8,37,37,24
8,11,16,30,32
17,42,20,31,19
8,10,37,11,46
12,17,23,20,23
17,30,27,34,43
5,39,14,15,10
7,41,26,7,16
3,4,18,14,45
2,8,43,26,28
5,40,28,43,39
11,24,40,6,40
1,42,48,50,2
4,23,4,31,21
12,34,46,6,26
8,18,24,23,40
2,33,16,43,4
3,49,7,41,40
8,12,6,47,28
16,33,12,12,46
2,40,12,44,8
17,22,5,30,4
18,38,20,31,18
8,14,37,39,7
11,42,33,49,50
6,33,24,24,22
6,13,33,49,34
3,26,28,7,17
6,31,1,9,44
18,8,44,41,4
3,37,5,4,48
20,16,44,0,18
12,47,4,40,17
16,21,1,44,13
0,23,49,13,47
17,28,11,14,23
12,18,4,9,18
11,47,0,9,22
16,33,8,10,0
